"","Ecoregion_NARS","Year","alpha.bar","gamma","mult.beta","prop.beta"
"1","CPL",1,21.4,67,3.13084112149533,0.680597014925373
"2","CPL",2,20.4,57,2.79411764705882,0.642105263157895
"3","CPL",3,21.8,65,2.98165137614679,0.664615384615385
"4","CPL",4,15.6,39,2.5,0.6
"5","CPL",5,16.7,60,3.59281437125749,0.721666666666667
"6","CPL",6,15.125,42,2.77685950413223,0.639880952380952
"7","CPL",7,15.9,72,4.52830188679245,0.779166666666667
"8","CPL",8,16,27,1.6875,0.407407407407407
"9","CPL",9,18,66,3.66666666666667,0.727272727272727
"10","CPL",10,20.125,98,4.8695652173913,0.794642857142857
"11","CPL",11,17.2307692307692,90,5.22321428571429,0.808547008547009
"12","CPL",12,18.7142857142857,92,4.91603053435114,0.796583850931677
"13","CPL",13,21.25,88,4.14117647058824,0.758522727272727
"14","CPL",14,21.8181818181818,85,3.89583333333333,0.74331550802139
"15","CPL",15,26,39,1.5,0.333333333333333
"16","CPL",16,21.8,60,2.75229357798165,0.636666666666667
"17","CPL",17,25.5,41,1.6078431372549,0.378048780487805
"18","CPL",18,17.25,46,2.66666666666667,0.625
"19","CPL",19,30.5,48,1.57377049180328,0.364583333333333
"20","CPL",20,19.4,60,3.09278350515464,0.676666666666667
"21","CPL",21,29.5,69,2.33898305084746,0.572463768115942
"22","CPL",22,24.75,55,2.22222222222222,0.55
"23","CPL",23,24,62,2.58333333333333,0.612903225806452
"24","CPL",24,17.6666666666667,35,1.9811320754717,0.495238095238095
"25","NAP",1,24.25,59,2.43298969072165,0.588983050847458
"26","NAP",2,22.2857142857143,64,2.87179487179487,0.651785714285714
"27","NAP",3,26.3333333333333,59,2.24050632911392,0.553672316384181
"28","NAP",4,25.5,62,2.43137254901961,0.588709677419355
"29","NAP",5,23.3333333333333,69,2.95714285714286,0.661835748792271
"30","NAP",6,22,54,2.45454545454545,0.592592592592593
"31","NAP",7,20.25,60,2.96296296296296,0.6625
"32","NAP",8,24.3333333333333,54,2.21917808219178,0.549382716049383
"33","NAP",9,18.3333333333333,40,2.18181818181818,0.541666666666667
"34","NAP",10,23.1666666666667,93,4.01438848920863,0.75089605734767
"35","NAP",11,22.7142857142857,71,3.12578616352201,0.680080482897384
"36","NAP",12,23.6,87,3.6864406779661,0.728735632183908
"37","NAP",13,26.6666666666667,81,3.0375,0.670781893004115
"38","NAP",14,24.3333333333333,73,3,0.666666666666667
"39","NAP",15,20.6666666666667,38,1.83870967741935,0.456140350877193
"40","NAP",16,26.3333333333333,52,1.9746835443038,0.493589743589744
"41","NAP",17,21.5,36,1.67441860465116,0.402777777777778
"42","NAP",18,26,55,2.11538461538462,0.527272727272727
"43","NAP",19,21.5,37,1.72093023255814,0.418918918918919
"44","NAP",20,27.5,67,2.43636363636364,0.58955223880597
"45","NAP",21,27,57,2.11111111111111,0.526315789473684
"46","NAP",22,26.25,76,2.8952380952381,0.654605263157895
"47","NAP",23,27.3333333333333,55,2.01219512195122,0.503030303030303
"48","NAP",24,24.1666666666667,68,2.81379310344828,0.644607843137255
"49","NPL",7,14.75,40,2.71186440677966,0.63125
"50","NPL",8,18.8,43,2.28723404255319,0.562790697674419
"51","NPL",9,19.5,42,2.15384615384615,0.535714285714286
"52","NPL",11,18.3333333333333,40,2.18181818181818,0.541666666666667
"53","NPL",12,15,25,1.66666666666667,0.4
"54","NPL",16,13,17,1.30769230769231,0.235294117647059
"55","SAP",1,19.25,75,3.8961038961039,0.743333333333333
"56","SAP",2,22.2142857142857,95,4.27652733118971,0.766165413533835
"57","SAP",3,20.75,67,3.2289156626506,0.690298507462687
"58","SAP",4,23.1,76,3.29004329004329,0.696052631578947
"59","SAP",5,21.7368421052632,88,4.04842615012107,0.75299043062201
"60","SAP",6,22.1333333333333,92,4.1566265060241,0.759420289855072
"61","SAP",7,24.2857142857143,100,4.11764705882353,0.757142857142857
"62","SAP",8,24.7857142857143,110,4.43804034582133,0.774675324675325
"63","SAP",9,20.3571428571429,92,4.51929824561403,0.778726708074534
"64","SAP",10,20.1481481481481,122,6.05514705882353,0.83485124468731
"65","SAP",11,22.7368421052632,125,5.49768518518519,0.818105263157895
"66","SAP",12,21,101,4.80952380952381,0.792079207920792
"67","SAP",13,21.9090909090909,88,4.01659751037344,0.75103305785124
"68","SAP",14,23.5833333333333,96,4.07067137809187,0.754340277777778
"69","SAP",15,21.3333333333333,105,4.921875,0.796825396825397
"70","SAP",16,22.8421052631579,110,4.81566820276498,0.792344497607655
"71","SAP",17,21.4,92,4.29906542056075,0.767391304347826
"72","SAP",18,19.375,73,3.76774193548387,0.73458904109589
"73","SAP",19,22.7777777777778,89,3.90731707317073,0.744069912609238
"74","SAP",20,26.4285714285714,87,3.29189189189189,0.696223316912972
"75","SAP",21,23.2857142857143,84,3.60736196319018,0.722789115646258
"76","SAP",22,23,75,3.26086956521739,0.693333333333333
"77","SAP",23,22.1428571428571,78,3.52258064516129,0.716117216117216
"78","SAP",24,21.3333333333333,69,3.234375,0.690821256038647
"79","SPL",2,15.1428571428571,45,2.97169811320755,0.663492063492064
"80","SPL",4,24.5555555555556,68,2.76923076923077,0.638888888888889
"81","SPL",5,18.4,69,3.75,0.733333333333333
"82","SPL",6,21.7,71,3.27188940092166,0.694366197183099
"83","SPL",10,17,107,6.29411764705882,0.841121495327103
"84","SPL",11,18.6,89,4.78494623655914,0.791011235955056
"85","SPL",12,17.5,79,4.51428571428571,0.778481012658228
"86","SPL",13,19.2857142857143,67,3.47407407407407,0.712153518123667
"87","SPL",14,18.6666666666667,60,3.21428571428571,0.688888888888889
"88","SPL",15,14.8,41,2.77027027027027,0.639024390243902
"89","SPL",16,25.2,63,2.5,0.6
"90","SPL",17,20.6,61,2.96116504854369,0.662295081967213
"91","SPL",18,22,54,2.45454545454545,0.592592592592593
"92","SPL",19,22.75,64,2.81318681318681,0.64453125
"93","SPL",20,23,44,1.91304347826087,0.477272727272727
"94","SPL",21,20.25,59,2.91358024691358,0.656779661016949
"95","SPL",22,18.6666666666667,42,2.25,0.555555555555556
"96","SPL",23,18.5,46,2.48648648648649,0.597826086956522
"97","SPL",24,17.5,44,2.51428571428571,0.602272727272727
"98","TPL",1,27.75,59,2.12612612612613,0.529661016949152
"99","TPL",2,19.1111111111111,70,3.66279069767442,0.726984126984127
"100","TPL",3,18.3333333333333,42,2.29090909090909,0.563492063492063
"101","TPL",4,18.6666666666667,68,3.64285714285714,0.725490196078431
"102","TPL",5,15.3333333333333,89,5.80434782608696,0.827715355805243
"103","TPL",6,14.9285714285714,74,4.95693779904306,0.798262548262548
"104","TPL",7,15.9166666666667,59,3.70680628272251,0.730225988700565
"105","TPL",8,16.375,48,2.93129770992366,0.658854166666667
"106","TPL",9,18.75,47,2.50666666666667,0.601063829787234
"107","TPL",10,15.0769230769231,101,6.69897959183673,0.850723533891851
"108","TPL",11,15.5185185185185,107,6.89498806682578,0.85496711664936
"109","TPL",12,16.8571428571429,101,5.99152542372881,0.833097595473833
"110","TPL",13,13.1818181818182,63,4.77931034482759,0.790764790764791
"111","TPL",14,20.7,87,4.20289855072464,0.762068965517241
"112","TPL",15,21,77,3.66666666666667,0.727272727272727
"113","TPL",16,22.5555555555556,68,3.01477832512315,0.668300653594771
"114","TPL",17,22.1428571428571,75,3.38709677419355,0.704761904761905
"115","TPL",18,22.6666666666667,70,3.08823529411765,0.676190476190476
"116","TPL",19,20.7142857142857,69,3.33103448275862,0.699792960662526
"117","TPL",20,21.5,66,3.06976744186047,0.674242424242424
"118","TPL",21,23.6666666666667,69,2.91549295774648,0.657004830917874
"119","TPL",22,24.5,65,2.6530612244898,0.623076923076923
"120","TPL",23,18.6666666666667,40,2.14285714285714,0.533333333333333
"121","TPL",24,18.5,30,1.62162162162162,0.383333333333333
"122","UMW",10,16,45,2.8125,0.644444444444444
"123","UMW",11,23,50,2.17391304347826,0.54
"124","UMW",12,27,56,2.07407407407407,0.517857142857143
"125","UMW",13,17.5,34,1.94285714285714,0.485294117647059
"126","UMW",15,19.5,26,1.33333333333333,0.25
"127","UMW",16,23,43,1.8695652173913,0.465116279069767
"128","UMW",18,19.5,36,1.84615384615385,0.458333333333333
"129","UMW",20,20.5,39,1.90243902439024,0.474358974358974
"130","UMW",22,20,34,1.7,0.411764705882353
"131","UMW",23,23.5,44,1.87234042553191,0.465909090909091
"132","UMW",24,20,39,1.95,0.487179487179487
"133","WMT",1,30,47,1.56666666666667,0.361702127659574
