"","Ecoregion_NARS","Year","alpha.bar","gamma","mult.beta","prop.beta"
"1","CPL",1,18.8888888888889,83,4.39411764705882,0.772423025435074
"2","CPL",2,20.5384615384615,87,4.23595505617978,0.763925729442971
"3","CPL",3,21.7142857142857,71,3.26973684210526,0.694164989939638
"4","CPL",4,16.5882352941176,98,5.90780141843972,0.830732292917167
"5","CPL",5,17.2173913043478,106,6.15656565656566,0.837571780147662
"6","CPL",6,18.1904761904762,110,6.04712041884817,0.834632034632035
"7","CPL",7,15.7692307692308,113,7.16585365853658,0.860449285228046
"8","CPL",8,16.25,43,2.64615384615385,0.622093023255814
"9","CPL",9,14.76,90,6.09756097560976,0.836
"10","CPL",10,20.125,98,4.8695652173913,0.794642857142857
"11","CPL",11,16.7333333333333,93,5.55776892430279,0.820071684587814
"12","CPL",12,24.3623188405797,183,7.5116002379536,0.866872574641641
"13","CPL",13,21.25,88,4.14117647058824,0.758522727272727
"14","CPL",14,21.8181818181818,85,3.89583333333333,0.74331550802139
"15","CPL",15,26,39,1.5,0.333333333333333
"16","CPL",16,21.8,60,2.75229357798165,0.636666666666667
"17","CPL",17,22,47,2.13636363636364,0.531914893617021
"18","CPL",18,17.25,46,2.66666666666667,0.625
"19","CPL",19,27,62,2.2962962962963,0.564516129032258
"20","CPL",20,19.4,60,3.09278350515464,0.676666666666667
"21","CPL",21,29.5,69,2.33898305084746,0.572463768115942
"22","CPL",22,22.5,64,2.84444444444444,0.6484375
"23","CPL",23,24,62,2.58333333333333,0.612903225806452
"24","CPL",24,17.5,48,2.74285714285714,0.635416666666667
"25","NAP",1,21.6666666666667,79,3.64615384615385,0.725738396624473
"26","NAP",2,22.6875,119,5.24517906336088,0.809348739495798
"27","NAP",3,25.2,72,2.85714285714286,0.65
"28","NAP",4,21.9166666666667,97,4.42585551330798,0.774054982817869
"29","NAP",5,23.3333333333333,69,2.95714285714286,0.661835748792271
"30","NAP",6,25.7777777777778,79,3.06465517241379,0.673699015471167
"31","NAP",7,18.375,69,3.75510204081633,0.733695652173913
"32","NAP",8,22.741935483871,107,4.70496453900709,0.787458546879711
"33","NAP",9,26.8125,90,3.35664335664336,0.702083333333333
"34","NAP",10,23.1666666666667,93,4.01438848920863,0.75089605734767
"35","NAP",11,22.7142857142857,71,3.12578616352201,0.680080482897384
"36","NAP",12,23.6,87,3.6864406779661,0.728735632183908
"37","NAP",13,26.6666666666667,81,3.0375,0.670781893004115
"38","NAP",14,24.3333333333333,73,3,0.666666666666667
"39","NAP",15,20.6666666666667,38,1.83870967741935,0.456140350877193
"40","NAP",16,26.3333333333333,52,1.9746835443038,0.493589743589744
"41","NAP",17,21.5,36,1.67441860465116,0.402777777777778
"42","NAP",18,26,55,2.11538461538462,0.527272727272727
"43","NAP",19,24.6666666666667,49,1.98648648648649,0.496598639455782
"44","NAP",20,27.5,67,2.43636363636364,0.58955223880597
"45","NAP",21,27,57,2.11111111111111,0.526315789473684
"46","NAP",22,28.7164179104478,152,5.29313929313929,0.811076197957581
"47","NAP",23,27.3333333333333,55,2.01219512195122,0.503030303030303
"48","NAP",24,25.1666666666667,87,3.45695364238411,0.710727969348659
"49","NPL",7,14.3333333333333,48,3.34883720930233,0.701388888888889
"50","NPL",8,17.7142857142857,66,3.7258064516129,0.731601731601732
"51","NPL",9,19.5,42,2.15384615384615,0.535714285714286
"52","NPL",11,18.3333333333333,40,2.18181818181818,0.541666666666667
"53","NPL",12,15,25,1.66666666666667,0.4
"54","NPL",16,13,17,1.30769230769231,0.235294117647059
"55","NPL",17,13.7142857142857,50,3.64583333333333,0.725714285714286
"56","NPL",19,11.5,23,2,0.5
"57","SAP",1,23.08,126,5.45927209705373,0.816825396825397
"58","SAP",2,18.8928571428571,159,8.41587901701323,0.881176999101527
"59","SAP",3,22.3275862068966,159,7.12123552123552,0.859574929516374
"60","SAP",4,22.5,133,5.91111111111111,0.830827067669173
"61","SAP",5,20.6896551724138,119,5.75166666666667,0.826137351492321
"62","SAP",6,23.1641791044776,149,6.43234536082474,0.844535710708204
"63","SAP",7,22.1463414634146,133,6.00550660792952,0.833486154410416
"64","SAP",8,23.2739726027397,151,6.48793407886992,0.845867731107684
"65","SAP",9,24.9230769230769,138,5.53703703703704,0.819397993311037
"66","SAP",10,20.1481481481481,122,6.05514705882353,0.83485124468731
"67","SAP",11,20.9135802469136,171,8.17650531286895,0.87769836112916
"68","SAP",12,21,101,4.80952380952381,0.792079207920792
"69","SAP",13,21.9090909090909,88,4.01659751037344,0.75103305785124
"70","SAP",14,23.7435897435897,127,5.3488120950324,0.813042600444175
"71","SAP",15,22,128,5.81818181818182,0.828125
"72","SAP",16,22.8421052631579,110,4.81566820276498,0.792344497607655
"73","SAP",17,21.4,92,4.29906542056075,0.767391304347826
"74","SAP",18,20,81,4.05,0.753086419753086
"75","SAP",19,24.9166666666667,103,4.13377926421405,0.758090614886731
"76","SAP",20,26.5,90,3.39622641509434,0.705555555555555
"77","SAP",21,23.625,98,4.14814814814815,0.758928571428571
"78","SAP",22,23.5,208,8.85106382978723,0.887019230769231
"79","SAP",23,22.1428571428571,78,3.52258064516129,0.716117216117216
"80","SAP",24,22.8571428571429,82,3.5875,0.721254355400697
"81","SPL",1,16,64,4,0.75
"82","SPL",2,16.2307692307692,69,4.25118483412322,0.764771460423634
"83","SPL",3,17.5,27,1.54285714285714,0.351851851851852
"84","SPL",4,25.3636363636364,84,3.31182795698925,0.698051948051948
"85","SPL",5,18.4,69,3.75,0.733333333333333
"86","SPL",6,21.7272727272727,74,3.40585774058577,0.706388206388206
"87","SPL",10,17,107,6.29411764705882,0.841121495327103
"88","SPL",11,15.6363636363636,136,8.69767441860465,0.885026737967914
"89","SPL",12,19.2,140,7.29166666666667,0.862857142857143
"90","SPL",13,19.2857142857143,67,3.47407407407407,0.712153518123667
"91","SPL",14,18.6666666666667,60,3.21428571428571,0.688888888888889
"92","SPL",15,14.8,41,2.77027027027027,0.639024390243902
"93","SPL",16,25.2,63,2.5,0.6
"94","SPL",17,20.3888888888889,106,5.19891008174387,0.807651991614256
"95","SPL",18,22,54,2.45454545454545,0.592592592592593
"96","SPL",19,22.75,64,2.81318681318681,0.64453125
"97","SPL",20,23,44,1.91304347826087,0.477272727272727
"98","SPL",21,20.25,59,2.91358024691358,0.656779661016949
"99","SPL",22,18.6666666666667,42,2.25,0.555555555555556
"100","SPL",23,18.5,46,2.48648648648649,0.597826086956522
"101","SPL",24,17.5,44,2.51428571428571,0.602272727272727
"102","TPL",1,23.9285714285714,111,4.63880597014925,0.784427284427284
"103","TPL",2,20.1428571428571,114,5.65957446808511,0.823308270676692
"104","TPL",3,18.3333333333333,42,2.29090909090909,0.563492063492063
"105","TPL",4,17.5,76,4.34285714285714,0.769736842105263
"106","TPL",5,17.4819277108434,130,7.43625086147485,0.865523632993513
"107","TPL",6,15.6,80,5.12820512820513,0.805
"108","TPL",7,16.3157894736842,80,4.90322580645161,0.796052631578947
"109","TPL",8,16.5490196078431,111,6.70734597156398,0.850909733262674
"110","TPL",9,18.75,47,2.50666666666667,0.601063829787234
"111","TPL",10,15.0769230769231,101,6.69897959183673,0.850723533891851
"112","TPL",11,15.5185185185185,107,6.89498806682578,0.85496711664936
"113","TPL",12,18.1084337349398,149,8.22821024617432,0.878466887684968
"114","TPL",13,16.8571428571429,103,6.11016949152542,0.836338418862691
"115","TPL",14,20.7,87,4.20289855072464,0.762068965517241
"116","TPL",15,19.625,93,4.73885350318471,0.788978494623656
"117","TPL",16,20.4166666666667,81,3.96734693877551,0.747942386831276
"118","TPL",17,20.8666666666667,105,5.03194888178914,0.801269841269841
